year,industry1,industry2,industry3,sick_leave,avg_days_per_absentee,avg_days_per_employee
2011,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",hospitalisation leave,17.6,0.5
2011,manufacturing,paper/rubber/plastics products and printing,paper/rubber/plastics products and printing,hospitalisation leave,15.8,0.7
2011,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",hospitalisation leave,15.1,0.8
2011,manufacturing,fabricated metal products and machinery,fabricated metal products and machinery,hospitalisation leave,17.5,0.6
2011,manufacturing,electronic and computer products,electronic and computer products,hospitalisation leave,11.7,0.6
2011,manufacturing,transport equipment,transport equipment,hospitalisation leave,19.3,0.6
2011,manufacturing,other manufacturing industries,other manufacturing industries,hospitalisation leave,15.9,0.7
2011,construction,construction,construction,hospitalisation leave,20.8,0.4
2011,services,wholesale and retail trade,wholesale trade,hospitalisation leave,17.8,0.5
2011,services,wholesale and retail trade,retail trade,hospitalisation leave,18.3,0.6
2011,services,transportation and storage,land transport and supporting services,hospitalisation leave,22.5,1.4
2011,services,transportation and storage,water transport and supporting services,hospitalisation leave,19.1,0.6
2011,services,transportation and storage,air transport and supporting services,hospitalisation leave,s,s
2011,services,transportation and storage,other transport and storage services,hospitalisation leave,16.7,1
2011,services,accommodation and food services,accommodation,hospitalisation leave,18.3,0.9
2011,services,accommodation and food services,food and beverage services,hospitalisation leave,17.4,0.3
2011,services,information and communications,"telecommunications, broadcasting and publishing",hospitalisation leave,14.5,0.7
2011,services,information and communications,it and other information services,hospitalisation leave,12,0.3
2011,services,financial and insurance services,financial services,hospitalisation leave,11.1,0.6
2011,services,financial and insurance services,insurance services,hospitalisation leave,13.4,0.7
2011,services,real estate services,real estate services,hospitalisation leave,14.5,0.9
2011,services,professional services,"legal, accounting and management services",hospitalisation leave,11.9,0.6
2011,services,professional services,architectural and engineering services,hospitalisation leave,13.5,0.4
2011,services,professional services,other professional services,hospitalisation leave,12.8,0.5
2011,services,administrative and support services,security and investigation,hospitalisation leave,21.5,0.8
2011,services,administrative and support services,cleaning and landscaping,hospitalisation leave,16.8,0.3
2011,services,administrative and support services,other adminstrative and support services,hospitalisation leave,19.1,0.5
2011,services,"community, social and personal services",education,hospitalisation leave,13.8,0.6
2011,services,"community, social and personal services",health and social services,hospitalisation leave,14,1.3
2011,services,"community, social and personal services","other community, social and personal services",hospitalisation leave,16.8,0.7
2011,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",outpatient sick leave,3.8,2
2011,manufacturing,paper/rubber/plastics products and printing,paper/rubber/plastics products and printing,outpatient sick leave,4.7,3.2
2011,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",outpatient sick leave,5.7,3.4
2011,manufacturing,fabricated metal products and machinery,fabricated metal products and machinery,outpatient sick leave,4.6,3.1
2011,manufacturing,electronic and computer products,electronic and computer products,outpatient sick leave,4.5,3.5
2011,manufacturing,transport equipment,transport equipment,outpatient sick leave,4.2,2.3
2011,manufacturing,other manufacturing industries,other manufacturing industries,outpatient sick leave,5.2,3.4
2011,construction,construction,construction,outpatient sick leave,3.3,1.3
2011,services,wholesale and retail trade,wholesale trade,outpatient sick leave,4.1,2.3
2011,services,wholesale and retail trade,retail trade,outpatient sick leave,4.8,2.7
2011,services,transportation and storage,land transport and supporting services,outpatient sick leave,6,3.7
