,total_rainfall,year,month,wet_bulb_temperature,kwh_per_acc,elec_tariffs,rainy_days
0,107.1,1982,1,23.45604838709677,,,10
1,27.8,1982,2,24.297619047619047,,,5
2,160.8,1982,3,24.811559139784944,,,11
3,157.0,1982,4,25.10375,,,14
4,102.2,1982,5,25.689650537634407,,,10
5,59.5,1982,6,25.729305555555552,,,8
6,76.3,1982,7,25.107258064516127,,,8
7,169.5,1982,8,25.02755376344086,,,11
8,54.1,1982,9,25.243055555555557,,,9
9,39.3,1982,10,24.90067204301075,,,10
10,134.0,1982,11,25.068888888888885,,,13
11,494.1,1982,12,24.621639784946236,,,21
12,246.0,1983,1,24.554973118279573,,,18
13,5.6,1983,2,24.97440476190476,,,2
14,18.6,1983,3,25.439247311827955,,,2
15,33.6,1983,4,26.09347222222222,,,4
16,160.8,1983,5,25.95685483870968,,,11
17,94.0,1983,6,25.872500000000002,,,11
18,190.0,1983,7,25.422043010752688,,,18
19,262.2,1983,8,25.54959677419355,,,10
20,170.8,1983,9,25.13722222222222,,,18
21,212.7,1983,10,25.239247311827956,,,17
22,228.8,1983,11,24.687638888888888,,,18
23,370.6,1983,12,23.882526881720427,,,16
24,251.2,1984,1,23.667876344086025,,,18
25,470.4,1984,2,24.00991379310345,,,19
26,361.3,1984,3,24.6002688172043,,,19
27,153.1,1984,4,25.178472222222222,,,17
28,186.5,1984,5,25.15645161290323,,,12
29,255.0,1984,6,25.2575,,,14
30,127.2,1984,7,24.984274193548387,,,12
31,102.7,1984,8,25.241935483870968,,,13
32,186.7,1984,9,24.65791666666667,,,17
33,187.5,1984,10,25.00712365591398,,,11
34,127.7,1984,11,24.650138888888886,,,17
35,277.4,1984,12,24.245833333333334,,,22
36,111.1,1985,1,24.091129032258063,,,7
37,79.3,1985,2,24.892857142857142,,,11
38,88.0,1985,3,24.92822580645161,,,13
39,110.5,1985,4,25.28291666666667,,,14
40,70.1,1985,5,25.736962365591395,,,12
41,37.0,1985,6,25.32333333333333,,,14
42,131.8,1985,7,24.738575268817204,,,17
43,56.9,1985,8,25.07983870967742,,,11
44,110.7,1985,9,24.693055555555556,,,18
45,169.0,1985,10,24.6747311827957,,,21
46,179.4,1985,11,24.571805555555557,,,21
47,340.1,1985,12,24.273118279569893,,,22
48,308.2,1986,1,23.615591397849464,,,13
49,26.7,1986,2,23.99955357142857,,,2
50,353.4,1986,3,24.6747311827957,,,17
51,150.0,1986,4,25.42013888888889,,,14
52,145.1,1986,5,25.686155913978496,,,13
53,122.9,1986,6,25.542222222222225,,,13
54,109.7,1986,7,25.11209677419355,,,12
55,72.9,1986,8,25.126478494623655,,,11
56,396.0,1986,9,24.64486111111111,,,22
57,227.3,1986,10,24.90537634408602,,,20
58,256.7,1986,11,24.504583333333333,,,21
59,367.2,1986,12,24.403494623655916,,,16
60,568.6,1987,1,23.70255376344086,,,16
61,86.9,1987,2,23.781994047619047,,,7
62,132.5,1987,3,25.19475806451613,,,12
63,72.5,1987,4,25.573194444444447,,,10
64,270.0,1987,5,25.55766129032258,,,16
65,126.6,1987,6,26.001527777777774,,,15
66,80.9,1987,7,25.540188172043013,,,11
67,191.9,1987,8,25.20483870967742,,,16
68,129.9,1987,9,25.21027777777778,,,11
69,22.6,1987,10,25.403897849462364,,,9
70,347.6,1987,11,25.099861111111114,,,17
71,72.8,1987,12,24.40981182795699,,,11
72,237.5,1988,1,24.706989247311828,,,15
73,158.1,1988,2,24.87528735632184,,,9
74,186.8,1988,3,25.28682795698925,,,15
75,109.6,1988,4,25.7025,,,13
76,229.6,1988,5,26.008467741935483,,,14
77,252.2,1988,6,25.459305555555556,,,13
78,305.4,1988,7,25.204435483870967,,,15
79,80.1,1988,8,25.002150537634407,,,14
80,440.4,1988,9,25.004722222222224,,,14
81,134.6,1988,10,25.170295698924733,,,17
82,401.4,1988,11,24.58527777777778,,,23
83,62.9,1988,12,23.718413978494624,,,11
84,189.7,1989,1,24.39704301075269,,,10
85,52.4,1989,2,23.703869047619047,,,3
86,305.9,1989,3,24.72204301075269,,,21
87,198.6,1989,4,25.190555555555555,,,17
88,194.0,1989,5,25.4755376344086,,,12
89,117.6,1989,6,25.19611111111111,,,12
90,157.6,1989,7,25.386559139784943,,,12
91,201.0,1989,8,24.966397849462364,,,18
92,247.3,1989,9,24.846249999999998,,,14
93,111.0,1989,10,24.87983870967742,,,16
94,508.4,1989,11,24.7975,,,20
95,179.7,1989,12,24.37889784946237,,,18
96,147.4,1990,1,24.04731182795699,,,13
97,24.1,1990,2,24.96175595238095,,,8
98,94.2,1990,3,25.07956989247312,,,4
99,52.4,1990,4,25.885972222222225,,,10
100,180.1,1990,5,25.933064516129033,,,11
101,112.6,1990,6,25.693888888888885,,,9
102,124.0,1990,7,25.131048387096776,,,12
103,146.6,1990,8,25.5747311827957,,,13
104,204.5,1990,9,24.9775,,,17
105,56.4,1990,10,25.24516129032258,,,12
106,180.4,1990,11,24.983611111111113,,,17
107,201.1,1990,12,24.47231182795699,,,16
108,123.9,1991,1,24.58454301075269,,,13
109,45.5,1991,2,24.620386904761908,,,7
110,92.4,1991,3,25.046370967741936,,,10
111,134.2,1991,4,25.61513888888889,,,13
112,256.4,1991,5,25.91021505376344,,,23
113,88.7,1991,6,25.97041666666667,,,9
114,37.3,1991,7,25.533736559139783,,,8
115,226.2,1991,8,25.4,,,8
116,123.1,1991,9,25.269305555555558,,,12
117,52.0,1991,10,24.985483870967744,,,5
118,205.0,1991,11,24.49291666666667,,,19
119,492.3,1991,12,24.43938172043011,,,19
120,83.9,1992,1,24.29274193548387,,,9
121,62.4,1992,2,24.784913793103446,,,4
122,67.6,1992,3,25.50577956989247,,,6
123,160.3,1992,4,25.965,,,13
124,63.1,1992,5,25.8505376344086,,,13
125,162.8,1992,6,25.671666666666663,,,14
126,290.8,1992,7,25.1630376344086,,,19
127,76.1,1992,8,25.18978494623656,,,11
128,83.6,1992,9,25.035694444444445,,,13
129,233.2,1992,10,24.988306451612903,,,20
130,474.3,1992,11,24.479999999999997,,,18
131,502.7,1992,12,24.283467741935485,,,23
132,176.4,1993,1,24.335752688172043,,,11
133,69.2,1993,2,24.083035714285714,,,8
134,250.5,1993,3,24.861021505376343,,,14
135,283.9,1993,4,25.485416666666666,,,20
136,129.9,1993,5,25.850403225806453,,,10
137,115.5,1993,6,25.831666666666667,,,17
138,240.0,1993,7,25.60470430107527,,,15
139,106.8,1993,8,25.729032258064517,,,11
140,61.7,1993,9,25.335,,,7
141,175.5,1993,10,25.36599462365591,,,13
142,250.8,1993,11,25.185555555555553,,,18
143,308.5,1993,12,24.86532258064516,,,19
144,56.9,1994,1,24.526344086021503,,,7
145,133.5,1994,2,24.952976190476193,,,15
146,288.2,1994,3,25.100403225806453,,,19
147,154.0,1994,4,25.803333333333335,,,15
148,169.6,1994,5,26.023655913978494,,,16
149,184.7,1994,6,25.833194444444448,,,14
150,53.8,1994,7,25.547580645161293,,,6
151,45.1,1994,8,25.402419354838713,,,12
152,23.7,1994,9,25.410833333333333,,,6
153,84.7,1994,10,25.294758064516127,,,11
154,322.2,1994,11,25.15263888888889,,,21
155,425.4,1994,12,24.94327956989247,,,18
156,349.4,1995,1,24.95779569892473,,,21
157,334.0,1995,2,24.79925595238095,,,16
158,67.7,1995,3,25.396102150537637,,,10
159,242.3,1995,4,25.946805555555557,,,16
160,84.4,1995,5,26.279301075268815,,,11
161,63.7,1995,6,26.335694444444446,,,12
162,173.6,1995,7,25.65215053763441,,,13
163,211.6,1995,8,25.47271505376344,,,21
164,29.5,1995,9,25.764305555555556,,,7
165,101.1,1995,10,25.463575268817205,,,12
166,372.8,1995,11,25.218611111111112,,,20
167,302.5,1995,12,24.549059139784948,,,20
168,173.2,1996,1,24.08521505376344,,,10
169,180.2,1996,2,24.44942528735632,,,11
170,129.7,1996,3,25.12889784946237,,,8
171,178.2,1996,4,25.83888888888889,,,15
172,107.5,1996,5,26.278494623655916,,,15
173,265.8,1996,6,26.14916666666667,,,15
174,162.3,1996,7,25.853763440860217,,,10
175,258.4,1996,8,25.179032258064517,,,18
176,297.0,1996,9,25.317222222222224,,,18
177,300.0,1996,10,25.179973118279573,,,19
178,180.2,1996,11,25.067777777777778,,,16
179,185.5,1996,12,24.34032258064516,,,15
180,15.4,1997,1,23.996774193548386,,,3
181,105.4,1997,2,24.758482142857144,,,8
182,34.3,1997,3,25.227688172043013,,,10
183,118.4,1997,4,25.68263888888889,,,12
184,41.6,1997,5,26.157526881720432,,,6
185,78.9,1997,6,25.96847222222222,,,12
186,18.6,1997,7,25.524327956989247,,,9
187,86.6,1997,8,25.7252688172043,,,9
188,31.1,1997,9,25.580277777777777,,,3
189,78.4,1997,10,25.561693548387098,,,8
190,158.3,1997,11,25.43972222222222,,,13
191,351.9,1997,12,25.358467741935485,,,23
192,268.8,1998,1,25.736424731182797,,,13
193,32.5,1998,2,25.87827380952381,,,5
194,58.8,1998,3,26.263440860215052,,,7
195,187.7,1998,4,26.697222222222223,,,13
196,370.8,1998,5,26.913978494623656,,,18
197,198.8,1998,6,26.106944444444444,,,15
198,259.2,1998,7,25.640860215053763,,,18
199,195.0,1998,8,25.504435483870967,,,18
200,258.2,1998,9,25.755277777777778,,,17
201,222.7,1998,10,25.591397849462364,,,20
202,107.2,1998,11,25.448749999999997,,,11
203,463.4,1998,12,25.08508064516129,,,22
204,193.9,1999,1,25.05483870967742,,,19
205,67.4,1999,2,24.86636904761905,,,9
206,181.4,1999,3,25.45228494623656,,,16
207,88.5,1999,4,25.886805555555554,,,14
208,157.1,1999,5,25.910618279569892,,,13
209,103.4,1999,6,25.735972222222223,,,13
210,225.4,1999,7,25.40255376344086,,,11
211,204.0,1999,8,25.37244623655914,,,13
212,125.9,1999,9,25.40402777777778,,,13
213,205.0,1999,10,25.106182795698924,,,20
